City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
0,Paramonga,PE,68.11,-10.6667,-77.8333,overcast clouds,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
1,Rikitea,PF,73.69,-23.1203,-134.9692,broken clouds,People ThankYou
6,Sao Miguel Do Araguaia,BR,72.34,-13.275,-50.1628,overcast clouds,Hotel Executivo Palace
7,Manavalakurichi,IN,80.4,8.1333,77.3,overcast clouds,Jebinrio home
12,Caravelas,BR,73.54,-17.7125,-39.2481,light rain,Pousada dos Navegantes
13,Trairi,BR,77.25,-3.2778,-39.2689,overcast clouds,janelas do mar
15,Hirara,JP,78.73,24.8,125.2833,clear sky,Hotel Atoll Emerald Miyakojima
18,Kieta,PG,81.59,-6.2167,155.6333,light rain,Uruna Bay Retreat
19,Kapaa,US,73.47,22.0752,-159.319,moderate rain,Sheraton Kauai Coconut Beach Resort
20,Esperance,AU,71.06,-33.8667,121.9,clear sky,Hospitality Esperance
22,Katsuura,JP,71.62,35.1333,140.3,overcast clouds,Katsuura Hotel Mikazuki
23,Hilo,US,78.24,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
24,Isangel,VU,84.88,-19.55,169.2667,broken clouds,Tanna Lodge
28,Port Lincoln,AU,65.14,-34.7333,135.8667,clear sky,Port Lincoln Hotel
29,Carnarvon,AU,80.1,-24.8667,113.6333,clear sky,Hospitality Carnarvon
30,Arraial Do Cabo,BR,73.71,-22.9661,-42.0278,overcast clouds,Pousada Porto Praia
31,Ribeira Grande,PT,67.77,38.5167,-28.7,clear sky,Quinta da Meia Eira
36,Busselton,AU,80.26,-33.65,115.3333,clear sky,Observatory Guest House
40,Tolaga Bay,NZ,65.84,-38.3667,178.3,broken clouds,Tolaga Bay Motel
42,Vaini,TO,79.45,-21.2,-175.2,few clouds,Keleti Beach Resort
46,Axim,GH,77.88,4.8699,-2.2405,few clouds,Axim Beach Resort And Spa
47,East London,ZA,66.09,-33.0153,27.9116,clear sky,Tu Casa
48,Nouadhibou,MR,68.92,20.931,-17.0347,clear sky,El Medina
49,Atuona,PF,78.04,-9.8,-139.0333,clear sky,Villa Enata
52,Mar Del Plata,AR,69.1,-38.0023,-57.5575,clear sky,Gran Hotel Mar del Plata
54,Kayes,ML,75.22,14.0,-11.0,broken clouds,
57,Pokhara,NP,65.01,28.2333,83.9833,clear sky,OYO 170 Hotel View Point
61,Butaritari,KI,81.19,3.0707,172.7902,overcast clouds,Isles Sunset Lodge
65,Chuy,UY,65.93,-33.6971,-53.4616,scattered clouds,Nuevo Hotel Plaza
67,Faanui,PF,79.39,-16.4833,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
69,Beira,MZ,73.49,-19.8436,34.8389,broken clouds,Beira Terrace Hotel
70,Rawson,AR,74.34,-43.3002,-65.1023,scattered clouds,Hosteria Sampedro
73,Port Blair,IN,82.87,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
74,Abu Dhabi,AE,73.96,24.4667,54.3667,clear sky,Beach Rotana
78,Doha,QA,75.18,25.2867,51.5333,clear sky,Mövenpick Doha
81,Christchurch,NZ,73.6,-43.5333,172.6333,scattered clouds,The George
82,Airai,TL,72.77,-8.9266,125.4092,overcast clouds,
83,Kampene,CD,66.24,-3.6,26.6667,moderate rain,
84,Sur,OM,75.45,22.5667,59.5289,clear sky,Sur Plaza Hotel
85,Bambous Virieux,MU,77.22,-20.3428,57.7575,broken clouds,Casa Tia Villa
86,Puerto Ayora,EC,70.56,-0.7393,-90.3518,scattered clouds,Finch Bay Galapagos Hotel
88,Filingue,NE,71.35,14.3521,3.3168,broken clouds,Chez Zarkilou Issa
90,Avarua,CK,78.85,-21.2078,-159.775,broken clouds,Paradise Inn
91,Broken Hill,AU,72.01,-31.95,141.4333,clear sky,Royal Exchange Hotel
93,Cape Town,ZA,75.11,-33.9258,18.4232,overcast clouds,"Radisson Blu Hotel Waterfront, Cape Town"
94,Ponta Do Sol,PT,66.83,32.6667,-17.1,few clouds,Hotel do Campo
96,Port Augusta,AU,73.26,-32.5,137.7667,clear sky,Majestic Oasis Apartments
97,Ampanihy,MG,71.65,-24.7,44.75,overcast clouds,HOTEL SHARRON AMPANIHY OUEST
104,Kuching,MY,88.02,1.55,110.3333,scattered clouds,Hilton Kuching
111,Andradina,BR,68.31,-20.8961,-51.3794,broken clouds,DELTA HOTEL
113,Tutoia,BR,77.45,-2.7619,-42.2744,overcast clouds,Pousada Guará's
