City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Paramonga,PE,-10.6667,-77.8333,68.11,78,97,4.79,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,73.69,76,74,13.18,broken clouds
2,Faya,SA,18.3851,42.4509,53.98,57,0,2.59,clear sky
3,Dikson,RU,73.5069,80.5464,-2.79,100,72,3.69,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,42.12,75,59,19.64,broken clouds
5,Mataura,NZ,-46.1927,168.8643,59.49,87,100,5.26,moderate rain
6,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.34,90,99,4.27,overcast clouds
7,Manavalakurichi,IN,8.1333,77.3,80.4,75,97,4.79,overcast clouds
8,Bredasdorp,ZA,-34.5322,20.0403,61.27,96,45,3.8,scattered clouds
9,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,11.5,broken clouds
10,Saint-Augustin,CA,51.226,-58.6502,28.2,95,100,13.47,light snow
11,Hermanus,ZA,-34.4187,19.2345,64.8,76,55,7.65,broken clouds
12,Caravelas,BR,-17.7125,-39.2481,73.54,95,100,9.19,light rain
13,Trairi,BR,-3.2778,-39.2689,77.25,78,100,4.21,overcast clouds
14,Elliot,ZA,-31.3333,27.85,53.85,82,3,6.4,clear sky
15,Hirara,JP,24.8,125.2833,78.73,80,0,12.62,clear sky
16,Togul,RU,53.465,85.9128,-12.42,94,100,0.92,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,37.89,95,72,7.05,light rain
18,Kieta,PG,-6.2167,155.6333,81.59,81,100,3.2,light rain
19,Kapaa,US,22.0752,-159.319,73.47,96,95,3.0,moderate rain
20,Esperance,AU,-33.8667,121.9,71.06,47,0,7.94,clear sky
21,Amazar,RU,53.858,120.875,-7.4,67,100,10.02,overcast clouds
22,Katsuura,JP,35.1333,140.3,71.62,73,100,25.1,overcast clouds
23,Hilo,US,19.7297,-155.09,78.24,99,87,1.99,overcast clouds
